42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:58:18.0 (74854)|USER_INFO|[EXTERNAL]|005i0000002qYvT|anton@igate.com|India Standard Time|GMT+05:30
13:58:18.0 (113631)|EXECUTION_STARTED
13:58:18.0 (119631)|CODE_UNIT_STARTED|[EXTERNAL]|0660H000004OdRk|VF: /apex/docapp
13:58:18.0 (1084917)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660H000004OdRk
13:58:18.0 (4066667)|HEAP_ALLOCATE|[72]|Bytes:3
13:58:18.0 (4114526)|HEAP_ALLOCATE|[77]|Bytes:152
13:58:18.0 (4131578)|HEAP_ALLOCATE|[342]|Bytes:408
13:58:18.0 (4145121)|HEAP_ALLOCATE|[355]|Bytes:408
13:58:18.0 (4176112)|HEAP_ALLOCATE|[467]|Bytes:48
13:58:18.0 (4205751)|HEAP_ALLOCATE|[139]|Bytes:6
13:58:18.0 (6847175)|VF_DESERIALIZE_VIEWSTATE_END
13:58:18.7 (7458995)|SYSTEM_MODE_ENTER|true
13:58:18.7 (7536871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
13:58:18.7 (7550282)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
13:58:18.7 (7562479)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
13:58:18.7 (7568104)|STATEMENT_EXECUTE|[1]
13:58:18.8 (8346939)|SYSTEM_MODE_ENTER|true
13:58:18.8 (8398206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:58:18.8 (8406379)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
13:58:18.8 (8453405)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x44f13c71
13:58:18.8 (8461353)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
13:58:18.8 (8471310)|VARIABLE_ASSIGNMENT|[88]|escape|null
13:58:18.0 (8616336)|SYSTEM_MODE_ENTER|true
13:58:18.0 (8637864)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
13:58:18.0 (8645051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:248
13:58:18.0 (8649488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:53
13:58:18.0 (8652643)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
13:58:18.0 (8660435)|METHOD_ENTRY|[1]|01p0H000007gCe8|docappcontroller.docappcontroller()
13:58:18.0 (8666270)|STATEMENT_EXECUTE|[1]
13:58:18.0 (8670377)|STATEMENT_EXECUTE|[1]
13:58:18.0 (8671999)|STATEMENT_EXECUTE|[174]
13:58:18.0 (8677039)|METHOD_EXIT|[1]|docappcontroller
13:58:18.0 (9950212)|SYSTEM_MODE_ENTER|true
13:58:18.0 (10588881)|SYSTEM_MODE_ENTER|true
13:58:18.0 (11569655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
13:58:18.0 (11580464)|VARIABLE_SCOPE_BEGIN|[119]|this|docappcontroller|true|false
13:58:18.0 (11631249)|VARIABLE_ASSIGNMENT|[119]|this|{"aptdum":"0x196049df","Docdum":"0x1623fc1d","Initialselected":0,"timewraplistInitial":"0x26ac749a"}|0x105bf084
13:58:18.0 (11642956)|STATEMENT_EXECUTE|[119]
13:58:18.0 (11645490)|STATEMENT_EXECUTE|[120]
13:58:18.0 (11649936)|HEAP_ALLOCATE|[120]|Bytes:9
13:58:18.0 (11698052)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x196049df","Docdum":"0x1623fc1d","Initialselected":0,"timewraplistInitial":"0x26ac749a"}|0x105bf084
13:58:18.0 (11762732)|HEAP_ALLOCATE|[120]|Bytes:41
13:58:18.0 (11784349)|HEAP_ALLOCATE|[120]|Bytes:50
13:58:18.0 (11803978)|USER_DEBUG|[120]|DEBUG|hello--->Doctor__c:{Speciality__c=General Surgery}
13:58:18.0 (11845384)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x196049df","Docdum":"0x1623fc1d","Initialselected":0,"timewraplistInitial":"0x26ac749a"}|0x105bf084
13:58:18.0 (11877406)|STATEMENT_EXECUTE|[121]
13:58:18.0 (11879450)|STATEMENT_EXECUTE|[122]
13:58:18.0 (11936339)|HEAP_ALLOCATE|[122]|Bytes:4
13:58:18.0 (11942955)|HEAP_ALLOCATE|[122]|Bytes:104
13:58:18.0 (11952156)|HEAP_ALLOCATE|[122]|Bytes:4
13:58:18.0 (11964524)|HEAP_ALLOCATE|[122]|Bytes:7
13:58:18.0 (12002212)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x196049df","Docdum":"0x1623fc1d","Initialselected":0,"timewraplistInitial":"0x26ac749a"}|0x105bf084
13:58:18.0 (12270836)|SOQL_EXECUTE_BEGIN|[122]|Aggregations:0|SELECT Id, Name, End_Time__c, Speciality__c, Start_Time__c FROM Doctor__c WHERE Speciality__c = :tmpVar1
13:58:18.0 (21970636)|SOQL_EXECUTE_END|[122]|Rows:2
13:58:18.0 (21991988)|HEAP_ALLOCATE|[122]|Bytes:12
13:58:18.0 (22013304)|HEAP_ALLOCATE|[122]|Bytes:227
13:58:18.0 (22056614)|HEAP_ALLOCATE|[122]|Bytes:12
13:58:18.0 (22084909)|HEAP_ALLOCATE|[122]|Bytes:24
13:58:18.0 (22096781)|HEAP_ALLOCATE|[122]|Bytes:4
13:58:18.0 (22102315)|HEAP_ALLOCATE|[122]|Bytes:24
13:58:18.0 (22106975)|HEAP_ALLOCATE|[122]|Bytes:4
13:58:18.0 (22153403)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x196049df","Docdum":"0x1623fc1d","Initialselected":0,"timewraplistInitial":"0x26ac749a"}|0x105bf084
13:58:18.0 (22188474)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"a260H000001koYjQAI":{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000},"a260H000001koYeQAI":{"Id":"a260H000001koYeQAI","Name":"Doc1","End_Time__c":64800000,"Speciality__c":"General Surgery","Start_Time__c":32400000}}|0xa9a7fa
13:58:18.0 (22213112)|VARIABLE_ASSIGNMENT|[109]|this.Docmap|{"a260H000001koYjQAI":{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000},"a260H000001koYeQAI":{"Id":"a260H000001koYeQAI","Name":"Doc1","End_Time__c":64800000,"Speciality__c":"General Surgery","Start_Time__c":32400000}}|0x105bf084
